Vacancy,industry,job type,work type,applicants,SQL,R,Python,Microsoft Excel,PowerBI,Google Analytics,Tableau,Alteryx
1,Non-profit Organizations,full time,Hybrid,315,1,1,1,,,,,
2,Staffing and 1ecruiting,full time,remote,279,,,,1,,,,
3,Consumer Services,full time,On-site,42,1,,,1,1,,,
4,Telecommunications,full time,Hybrid,187,1,1,1,,,1,,
5,Financial Services,full time,Hybrid,51,1,,,1,,,,
6,1eal Estate,full time,On-site,46,1,1,1,,1,,1,1
7,Hospitals and Health Care,full time,On-site,84,,,,1,,,,
8,Wellness and Fitness Services,full time,On-site,16,,,,,,,,
9,Staffing and 1ecruiting,full time,On-site,30,,,,1,1,,,
10,"Technology, Information and Internet",part time,On-site,89,1,,,1,1,,,
11,1etail Apparel and Fashion,full time,On-site,266,1,1,1,1,1,1,1,
12,Staffing and 1ecruiting,temporary,On-site,69,1,,,1,1,,,
13,Staffing and 1ecruiting,full time,On-site,188,,,,1,1,,,
14,Financial Services,full time,On-site,211,1,,1,,,,1,
15,IT Services and IT Consulting,full time,On-site,9,,,,1,,,,
16,Financial Services,full time,Hybrid,57,1,,,,1,,1,
17,Staffing and 1ecruiting,full time,On-site,27,1,,,,1,,,
18,Staffing and 1ecruiting,full time,On-site,3,1,,,,,1,,
19,Staffing and 1ecruiting,full time,Hybrid,64,,,,,,,,
20,Human 1esources Services,full time,Hybrid,11,,,,,1,,,1
21,Staffing and 1ecruiting,contract,On-site,28,,,,,,,,
22,Defense and Space Manufacturing,full time,On-site,10,1,,,1,1,,,
23,1etail,full time,On-site,28,1,,,,1,1,1,
24,1etail,full time,Hybrid,72,,,,1,,,,
25,Online Audio and Video Media,full time,Hybrid,195,,,,1,,1,,
26,1etail Luxury Goods and Jewelry,full time,On-site,86,,,,1,1,,,
27,Staffing and 1ecruiting,contract,Hybrid,19,,,,,1,,,
28,International Trade and Development,full time,On-site,78,1,,1,1,1,,1,
29,Staffing and 1ecruiting,full time,Hybrid,23,,,,,1,,,
30,1etail,full time,On-site,211,,,1,,,,,
31,Staffing and 1ecruiting,full time,On-site,38,1,,,1,1,,,
32,Staffing and 1ecruiting,full time,On-site,21,,,,1,,,,
33,Software Development,full time,remote,190,1,,1,1,,,1,
34,Staffing and 1ecruiting,full time,Hybrid,6,1,1,1,,1,,1,
35,Investment Banking,full time,On-site,167,,1,,1,,,,
36,Staffing and 1ecruiting,full time,On-site,31,,1,1,,1,,,1
37,Computer Games,full time,Hybrid,112,1,1,1,,,,,
38,Staffing and 1ecruiting,full time,Hybrid,47,,,,,1,,,1
39,Wine & Spirits,full time,On-site,39,1,1,1,,1,,,
40,Insurance,full time,Hybrid,60,,1,1,1,1,,,
41,Staffing and 1ecruiting,full time,On-site,27,1,,1,,,,,
42,Insurance,full time,On-site,54,,1,1,,1,,,
43,Book and Periodical Publishing,full time,Hybrid,58,,,,1,,,,
44,Telecommunications,full time,Hybrid,76,,,,1,,,,
45,Staffing and 1ecruiting,full time,Hybrid,30,,,,1,1,,,
46,Utilities,full time,Hybrid,294,,,,1,,,,
